id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
1,Data Structures,medium,What is the degree of a node in a graph?,Number of neighbors,Number of edges connected,Height of node,Depth of node,b,Degree is the number of edges connected to a node.
2,Operating Systems,easy,Which OS manages iPhone devices?,Windows,Linux,iOS,Android,c,iOS is Apples mobile operating system designed for iPhoneiPad hardware.
3,SQL,hard,What does the RANK function do in SQL?,Assigns row numbers without gaps,Assigns ranking with possible gaps,Evaluates null values,Performs join operations,b,"RANK assigns ranks to rows with gaps for ties, unlike DENSERANK."
4,Data Science,medium,What is PCA used for?,Supervised prediction,Clustering,Dimensionality reduction,Image generation,c,Principal Component Analysis reduces dataset dimensionality by feature transformation.
5,Machine Learning,easy,What is a common task in unsupervised learning?,Classification,Regression,Clustering,Reinforcement learning,c,Clustering is a classic example of an unsupervised learning task. It involves grouping similar data points together based on their features without any predefined labels.
6,Software Development,easy,Which of the following is an example of 'code documentation'?,Writing comments within the code,Creating a flowchart of the program logic,Giving a presentation about the software,Testing the software for errors,a,"Code documentation involves writing comments, docstrings, or other explanatory text within the source code to make it easier for other developers to understand and maintain."
7,Cybersecurity,easy,What is malware?,A security testing framework,A piece of malicious codesoftware,A type of database indexing technique,Encrypted software,b,Malware is malicious software intended to damage or exploit systems.
8,Algorithms,medium,What is the main difference between Prims and Kruskals algorithm for MST?,Prim works on edges directly,Kruskal works on vertices directly,Prim grows MST from a vertex,Kruskal grows MST by adding edges,prim is greedy while kruskal is not,B
9,Machine Learning,easy,What is overfitting?,When a model is too simple to capture the underlying trend,When a model performs well on the training data but poorly on unseen data,When a model has a perfect score on all data,When a model is too complex and slow to train,b,"Overfitting occurs when a model learns the training data and noise too well, making it perform poorly on new, unseen data. It essentially memorizes the training data instead of learning the general trend."
10,Operating Systems,medium,What is the difference between a user thread and a kernel thread?,User threads are managed by the kernel; kernel threads are managed by the user,User threads are lightweight and managed by a user-level library; kernel threads are heavier and managed by the OS,User threads can be used on all operating systems; kernel threads cannot,User threads are always faster than kernel threads,b,"User threads are managed by a user-level library without kernel intervention, making them fast and lightweight. Kernel threads are managed directly by the operating system's kernel, which involves a system call for creation and management."
11,Operating Systems,easy,Which of these is a type of operating system?,Batch,Real-Time,Distributed,All of the above,d,"Operating systems can be classified into these types: batch, RTOS, and distributed, among others."
12,Cybersecurity,easy,"What is a ""zero-day"" vulnerability?",A vulnerability that has been known for years,A vulnerability that has a severity score of zero,A newly discovered vulnerability that hackers can exploit before a patch is available,A vulnerability that can only be exploited on the first day of the month,c,"A zero-day vulnerability is a software flaw that is not yet known to the vendor or the public. It can be exploited by hackers on the 'zero day' of its public discovery, before a fix is available."
