id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation,,,,,,,,,,,,,
1,Python,easy,What is the output of print(2**3)?,6,8,9,5,b,"The operator ** is used for exponentiation, so 2**3 equals 2 raised to the power of 3, which is 8.",,,,,,,,,,,,,
2,Python,medium,What is a generator in Python?,A function that returns a value,A function that iterates over a sequence,A function that returns an iterator,A class that can be instantiated,c,A generator is a special type of function that returns an iterator. It yields a sequence of values instead of returning a single value all at once.,,,,,,,,,,,,,
3,SQL,easy,Which SQL command is used to extract data from a database?,SELECT,GET,EXTRACT,OPEN,a,The SELECT statement is the primary SQL command used to retrieve data from one or more tables in a database.,,,,,,,,,,,,,
4,SQL,medium,Which keyword is used to sort the result-set in ascending order?,SORT BY,ORDER BY,SORT ASC,ORDER ASC,b,The ORDER BY clause is used to sort the result-set by a specified column. The default sort order is ascending (ASC).,,,,,,,,,,,,,
5,Data Structures,easy,What is a Stack?,A FIFO data structure,A LIFO data structure,A random access data structure,A sequential data structure,b,"A Stack is a Last-In, First-Out (LIFO) data structure. The last item added is the first one to be removed.",,,,,,,,,,,,,
6,Data Structures,medium,What is the time complexity to find an element in a balanced binary search tree?,O(1),O(n),O(log n),O(n^2),c,"In a balanced binary search tree, the search space is halved at each step, making the average and worst-case time complexity O(log n).",,,,,,,,,,,,,
7,Web Development,easy,Which language is used for styling web pages?,HTML,Python,CSS,JavaScript,c,CSS (Cascading Style Sheets) is a style sheet language used to describe the presentation of a document written in a markup language like HTML.,,,,,,,,,,,,,
8,Web Development,medium,What does the acronym 'API' stand for?,Application Program Interface,Advanced Programming Instruction,Automated Program Interface,Application Protocol Integration,a,API stands for Application Program Interface. It is a set of rules and protocols for building and interacting with software applications.,,,,,,,,,,,,,
9,DSA,hard,What is the worst-case time complexity of Merge Sort?,O(n),O(log n),O(n log n),O(n^2),c,"The time complexity of Merge Sort is consistently O(n log n) for all cases (best, average, and worst) because it always divides the array into two halves and merges them.",,,,,,,,,,,,,
10,DSA,easy,What does FIFO stand for?,First-In Final-Out,First-In First-Out,Fast-In Fast-Out,Final-In Final-Out,b,"FIFO stands for First-In, First-Out. It describes the behavior of a queue, where the first element added is the first one to be removed.",,,,,,,,,,,,,
11,Operating Systems,medium,What is the primary function of a kernel?,To manage user applications,To act as an interface between hardware and software,To handle file compression,To provide network access,b,"The kernel is the core of the operating system, acting as a bridge between applications and hardware. It manages system resources like memory, CPU, and I/O devices.",,,,,,,,,,,,,
12,Operating Systems,medium,What is the difference between a process and a thread?,A process is a part of a thread,A thread is an independent program,A process is a program in execution,A process is a single-threaded program,c,"A process is an instance of a program being executed, while a thread is a lightweight process that can run within a process. Multiple threads can exist within a single process and share its resources.",,,,,,,,,,,,,
13,Operating Systems,medium,"What is a ""context switch""?",Changing the CPU's clock speed,Saving the state of one process and loading another,Switching between different user accounts,Moving a process from RAM to a hard drive,b,"A context switch is the mechanism by which the operating system saves the state of a running process and loads the state of another, allowing the CPU to switch between them. This is how multitasking is achieved.",,,,,,,,,,,,,
14,Operating Systems,medium,What is the purpose of virtual memory?,To increase the physical RAM size,To allow a program to use more memory than is physically available,To encrypt data in memory,To speed up hard drive access,b,Virtual memory is a memory management technique that allows a program to use a logical address space that can be much larger than the available physical memory. It uses the hard disk as an extension of RAM.,,,,,,,,,,,,,
15,Operating Systems,medium,What is the primary condition for a deadlock to occur?,Mutual Exclusion,Hold and Wait,No Preemption,All of the above,d,"A deadlock requires four conditions to occur simultaneously: Mutual Exclusion, Hold and Wait, No Preemption, and Circular Wait. If any one of these conditions is not met, a deadlock cannot occur.",,,,,,,,,,,,,
16,Operating Systems,medium,"Which process scheduling algorithm has the issue of ""starvation""?",Round Robin,First-Come First-Served,priority,Shortest Job First (SJF),d,"In Priority Scheduling, a low-priority process might never get to run if there is a constant stream of high-priority processes ready to execute, leading to starvation.",,,,,,,,,,,,,
17,Operating Systems,medium,What is 'thrashing' in an operating system?,Excessive disk I/O due to a low number of page faults,A state where the system spends more time paging than executing,A system crash caused by too many processes,A rapid increase in CPU temperature,b,"Thrashing is a state where the system's virtual memory is over-committed, and it spends a large amount of time moving pages between RAM and disk, which significantly degrades performance.",,,,,,,,,,,,,
18,Operating Systems,medium,What is the difference between internal and external fragmentation?,Internal is within a single memory block; External is in the entire memory,Internal is caused by dynamic allocation; External is static,Internal is solved by compaction; External is solved by paging,Internal is fixed-size blocks; External is variable-size blocks,a,"Internal fragmentation occurs when memory is allocated in fixed-size blocks and a process only uses part of a block. External fragmentation occurs when total memory is available, but it is not contiguous, preventing its use.",,,,,,,,,,,,,
19,Operating Systems,medium,What is the primary purpose of a page table?,To store a list of all running processes,To map logical addresses to physical addresses,To keep track of system security settings,To manage file permissions,b,A page table is a data structure used in virtual memory to map logical addresses used by a process to the physical addresses in the main memory.,,,,,,,,,,,,,
